GENE	FREQUENCY
COPS6	0
COPS8	1
COPZ1	0
COPZ2	1
COQ7	0
CORO1A	8
CORO1C	0
CORO2A	2
CORO2B	0
CORO7	0
CORT	0
COTL1	2
COX4I1	0
COX4I2	0
COX5A	0
COX5B	0
COX6A1	1
COX6A2	0
COX6B1	0
COX6C	0
COX7A1	0
COX7A2L	1
COX7B	1
COX7C	0
COX8A	1
CP	28
CPA1	0
CPA2	0
CPA3	2
CPA4	0
CPA5	0
CPA6	0
CPB1	0
CPB2	3
CPD	1
CPE	15
CPEB1	0
CPLX1	0
CPLX2	0
CPM	0
CPNE1	0
CPNE4	0
CPO	0
CPOX	0
CPS1	1
CPSF1	0
CPSF2	0
CPSF3	0
CPSF4	0
CPSF6	0
CPSF7	0
CPT1A	0
CPT1B	0
CPT1C	0
CPT2	0
CPXM2	0
CR1	0
CR2	2
CRABP1	0
CRABP2	0
CRADD	0
CRB3	0
CRCP	0
CREB1	0
CREB3	0
CREB3L1	0
CREB3L2	20
CREB3L3	0
CREB3L4	0
CREB5	0
CREBBP	0
CREBBP VARIANT PROTEIN	0
CREBZF	0
CREM	0
CRH	0
CRHBP	0
CRHR1	0
CRHR2	0
CRIM1	0
CRIP1	1
CRIP2	0
CRIPAK	0
CRK	0
CRKL	0
CRLF1	0
CRLF3	1
CRMP1	6
CRNKL1	0
CROP	0
CRP	0
CRTAM	0
CRX	0
CRY1	14
CRY2	0
CRYAA	0
CRYAB	0
CRYBB2	0
CRYGC	0
CRYZ	0
CS	0
CSDA	0
CSDE1	0
CSE1L	0
CSE1L-2	0
CSF1	0
CSF1R	4
CSF2	0
CSF2RA	0
CSF2RB	27
CSF3	0
CSF3R	0
CSH1	0
CSK	2
CSN2	0
CSNK1A1	0
CSNK1A1L	0
CSNK1D	2
CSNK1E	0
CSNK1G1	0
CSNK1G2	0
CSNK1G3	0
CSNK2A1	0
CSNK2A2	0
CSNK2B	1
CSPG4	6
CSRNP2	0
CSRNP3	0
CSRP1	0
CSRP2	1
CSRP2BP	0
CSRP3	0
CST3	9
CST5	0
CST7	1
CSTA	42
CSTB	2
CSTF1	1
CSTF2	0
CSTF2T	0
CSTF3	0
CTBP1	5
CTBP2	0
CTCF	0
CTCFL	0
CTDP1	0
CTDSP1	0
CTDSP2	0
CTDSPL	0
CTF1	0
CTGF	24
CTLA4	0
CTNNA1	0
CTNNA2	55
CTNNA3	0
CTNNAL1	34
CTNNB1	0
CTNNBIP1	0
CTNND1	9
CTNND2	16
CTPS	1
CTPS2	0
CTRB1	0
CTRC	0
CTSB	6
CTSC	20
CTSD	7
CTSF	2
CTSG	0
CTSH	3
CTSK	28
CTSL1	19
CTSL2	2
CTSLL6	0
CTSS	94
CTSZ	0
CTTN	1
CTTNBP2	0
CUBN	2
CUGBP1	1
CUGBP2	6
CUL1	0
CUL2	0
CUL3	0
CUL4A	6
CUL4B	2
CUL5	0
CUL7	0
CUX1	0
CX3CL1	4
CX3CR1	4
CXADR	0
CXCL1	1
CXCL10	22
CXCL11	10
CXCL12	13
CXCL13	2
CXCL16	0
CXCL2	1
CXCL3	1
CXCL5	0
CXCL6	1
CXCL9	16
CXCR3	0
CXCR4	164
CXCR5	0
CXCR6	0
CXCR7	22
CXXC1	0
CXXC4	0
CYB5A	2
CYB5R3	0
CYBA	67
CYBB	51
CYC1	1
CYCS	1
CYFIP1	0
CYFIP2	9
CYLC2	0
CYLD	0
CYP11A1	0
CYP11B1	0
CYP11B2	0
CYP17A1	0
CYP19A1	0
CYP1A1	0
CYP1A2	0
CYP1B1	0
CYP21A2	0
CYP24	0
CYP24A1	0
CYP27A1	0
CYP27B1	0
CYP27C1	0
CYP2A13	0
CYP2A6	0
CYP2B6	0
CYP2C18	0
CYP2C19	0
CYP2C8	0
CYP2C9	0
CYP2D6	0
CYP2E1	0
CYP2F1	0
CYP2J2	0
CYP3A4	0
CYP3A43	0
CYP3A5	0
CYP3A7	0
CYP4A11	0
CYP4A22	0
CYP51A1	1
CYP7A1	0
CYP7B1	0
CYP8B1	0
CYR61	60
CYSLTR1	0
CYSLTR2	0
CYTH1	0
CYTH2	0
CYTH3	0
CYTH4	0
CYTIP	0
DAAM1	0
DAAM2	0
DAB1	0
DAB2	13
DACH1	0
DACT1	0
DAD1	0
DAG1	0
DAO	0
DAOA	0
DAP	0
DAP3	0
DAPK1	0
DAPK2	0
DAPK3	0
DAPP1	1
DARC	1
DARS	0
DAXX	1
DAZ1	0
DAZ4	1
DAZAP1	1
DAZL	0
DBF4	100
DBH	0
DBI	0
DBNL	0
DBP	0
DBT	0
DCBLD1	0
DCC	0
DCHS1	14
DCHS2	0
DCI	0
DCK	0
DCLK1	4
DCLK2	0
DCLRE1A	0
DCLRE1C	0
DCN	16
DCP1A	0
DCP1B	0
DCP2	0
DCT	0
DCTN1	12
DCTN2	2
DCTN3	0
DCTN6	0
DCX	0
DCXR	0
DDAH1	0
DDAH2	0
DDB1	0
DDB2	15
DDC	0
DDIT3	6
DDIT4	0
DDOST	2
DDR1	3
DDR2	3
DDT	0
DDX1	0
DDX10	0
DDX17	0
DDX18	0
DDX19B	0
DDX20	0
DDX23	1
DDX24	0
DDX39	2
DDX3X	0
DDX3Y	0
DDX4	0
DDX41	0
DDX42	0
DDX43	0
DDX46	0
DDX5	0
DDX50	0
DDX53	0
DDX54	0
DDX56	1
DDX58	0
DEAF1	5
DEC1	0
DECR1	0
DEDD	0
DEDD2	0
DEFA1	0
DEFA3	0
DEFA4	0
DEFB1	0
DEFB103A	0
DEFB4	0
DEK	10
DEPDC1A	0
DEPDC1B	0
DEPDC7	0
DERL1	0
DES	0
DET1	0
DFFA	0
DFFB	0
DGCR8	0
DGKA	0
DGKB	2
DGKD	0
DGKE	0
DGKG	0
DGKH	0
DGKI	0
DGKQ	0
DGKZ	6
DGUOK	0
DHCR24	21
DHFR	84
DHFRL1	0
DHH	0
DHODH	0
DHPS	0
DHRS2	0
DHTKD1	0
DHX15	0
DHX16	0
DHX33	0
DHX35	0
DHX37	0
DHX38	0
DHX40	2
DHX57	0
DHX8	0
DHX9	0
DIABLO	0
DIAPH1	0
DIAPH2	0
DIAPH3	0
DICER1	0
DIP2A	0
DIRAS1	0
DIRAS2	3
DIRAS3	0
DIS3	1
DISC1	0
DISP1	0
DIXDC1	0
DKC1	3
DKFZP434E026	0
DKFZP434K0126	0
DKFZP434N071	0
DKFZP434N181	0
DKFZP451L152	0
DKFZP564A2282	0
DKFZP564A247	0
DKFZP586H0919	0
DKFZP586M0622	0
DKFZP586M1622	0
DKFZP586O1922	0
DKFZP666O0110	0
DKFZP686A06204	0
DKFZP686A08248	0
DKFZP686A1668	0
DKFZP686B04100	0
DKFZP686B18150	0
DKFZP686C2469	0
DKFZP686D0345	0
DKFZP686D0662	0
DKFZP686D09174	0
DKFZP686E0752	0
DKFZP686E14208	0
DKFZP686E191	0
DKFZP686F1789	0
DKFZP686H1993	0
DKFZP686I0746	0
DKFZP686J01190	0
DKFZP686J1569	0
DKFZP686K101	0
DKFZP686L02273	0
DKFZP686L20222	0
DKFZP686M02159	0
DKFZP686N0154	0
DKFZP686N1782	0
DKFZP686N1815	0
DKFZP686N21130	0
DKFZP686O0215	0
DKFZP686O088	0
DKFZP686O0962	0
DKFZP686O13149	0
DKFZP686P05226	0
DKFZP762F2011	0
DKFZP779C1668	0
DKFZP779K1237	0
DKFZP779L0468	0
DKFZP781A0677	0
DKFZP781B0869	0
DKFZP781B1340	0
DKFZP781F1414	0
DKFZP781I1140	0
DKFZP781K0743	0
DKFZP781N011	0
DKFZP781P1719	0
DKK1	23
DKK2	2
DKK3	0
DKK4	0
DLAT	0
DLC1	0
DLD	1
DLEU1	30
DLG1	0
DLG2	112
DLG3	0
DLG4	0
DLG5	0
DLGAP1	0
DLGAP2	0
DLGAP3	0
DLGAP4	0
DLGAP5	0
DLK1	0
DLL1	0
DLL3	9
DLL4	0
DLST	0
DLX1	0
DLX2	0
DLX3	0
DLX4	0
DLX5	6
DLX6	0
DMA	0
DMAP1	0
DMBT1	1
DMC1	0
DMD	0
DMP1	0
DMPK	0
DMTF1	0
DNA2	0
DNAH1	0
DNAH10	0
DNAH11	0
DNAH2	0
DNAH3	0
DNAH5	0
DNAH6	0
DNAH7	0
DNAH8	0
DNAH9	5
DNAI1	0
DNAI2	0
DNAJA1	0
DNAJA2	0
DNAJA3	0
DNAJA4	0
DNAJB1	1
DNAJB11	0
DNAJB13	0
DNAJB4	0
DNAJB5	0
DNAJB6	0
DNAJB9	0
DNAJC14	0
DNAJC2	0
DNAJC27	0
DNAJC3	1
DNAJC5	0
DNAJC6	68
DNAJC8	0
DNAL4	0
DNASE1	0
DNASE2	0
DNER	0
DNM1	228
DNM1L	0
DNM2	0
DNM3	0
DNMBP	13
DNMT1	11
DNMT3A	0
DNMT3B	0
DNMT3L	0
DNTT	0
DNTTIP2	0
DOC2A	1
DOC2B	0
DOCK1	0
DOCK10	0
DOCK2	18
DOCK3	0
DOCK7	0
DOHH	0
DOK1	0
DOK2	0
DOK3	0
DOK4	0
DOK5	14
DOK6	0
DPAGT1	0
DPF2	0
DPH3	0
DPM1	0
DPM2	0
DPM3	0
DPP4	0
DPT	0
DPYS	0
DPYSL2	3
DPYSL3	2
DPYSL4	0
DPYSL5	0
DR1	0
DRAP1	0
DRD1	0
DRD2	0
DRD3	0
DRD4	0
DRD5	0
DRD5P1	0
DRG1	0
DRP2	0
DSC1	0
DSC2	2
DSC3	2
DSCAM	0
DSG1	0
DSG2	0
DSG3	2
DSN1	2
DSP	13
DSPP	0
DST	0
DSTN	0
DTL	3
DTNA	1
DTNB	0
DTX1	0
DTX2	0
DTX3	0
DTX3L	0
DTX4	0
DUOX1	0
DUS1L	0
DUSP1	17
DUSP10	1
DUSP11	0
DUSP12	0
DUSP14	0
DUSP16	0
DUSP18	0
DUSP19	0
DUSP2	1
DUSP21	0
DUSP3	0
DUSP4	3
DUSP5	5
DUSP6	26
DUSP7	0
DUSP8	5
DUSP9	0
DUT	0
DUX1	0
DVL1	0
DVL1L1	0
DVL2	0
DVL3	2
DYNC1H1	6
DYNC1I1	0
DYNC1I2	0
DYNC1LI1	0
DYNC1LI2	0
DYNC2H1	0
DYNLL1	0
DYNLL2	0
DYNLRB1	0
DYNLT1	73
DYRK1A	0
DYRK1B	0
DYX1C1	0
DZIP1	0
E2F1	0
E2F2	0
E2F3	2
E2F4	0
E2F5	0
E2F6	2
E2F7	0
E4F1	0
EAF1	0
EAF2	0
EARS2	0
EBF1	0
EBF2	0
EBF3	0
EBI3	0
EBNA1BP2	0
ECD	0
ECE1	0
ECE2	0
ECEL1	0
ECH1	0
ECHS1	0
ECM1	0
ECSIT	0
ECT2	31
EDA	0
EDA2R	0
EDAR	0
EDARADD	0
EDEM1	0
EDF1	0
EDIL3	0
EDN1	8
EDN2	0
EDN3	3
EDNRA	50
EDNRB	5
EEA1	0
EED	0
EEF1A1	0
EEF1A2	70
EEF1B2	0
EEF1D	0
EEF1E1	0
EEF1G	0
EEF2	0
EEF2K	0
EEFSEC	0
EFEMP1	4
EFEMP2	11
EFHA1	0
EFHD1	2
EFNA1	16
EFNA2	0
EFNA3	0
EFNA4	10
EFNA5	0
EFNB1	0
EFNB2	11
EFNB3	3
EFS	4
EFTUD2	0
EGF	3
EGFL7	0
EGFR	130
EGLN1	0
EGLN2	0
EGLN3	0
EGR1	21
EGR2	4
EGR3	11
EGR4	0
EHD1	0
EHD3	0
EHD4	12
EHF	0
EHHADH	2
EHMT1	0
EHMT2	0
EI24	0
EID1	0
EIF1	0
EIF1AX	0
EIF1B	0
EIF2A	0
EIF2AK1	0
EIF2AK2	0
EIF2AK3	1
EIF2AK4	0
EIF2B1	0
EIF2B2	0
EIF2B3	0
EIF2B4	0
EIF2B5	0
EIF2C1	0
EIF2C2	0
EIF2C3	0
EIF2C4	0
EIF2S1	0
EIF2S2	0
EIF2S3	16
EIF3A	0
EIF3B	1
EIF3C	0
EIF3D	0
EIF3E	0
EIF3F	0
EIF3G	0
EIF3H	0
EIF3I	0
EIF3J	0
EIF3K	0
EIF3L	0
EIF3M	0
EIF4A1	9
EIF4A2	1
EIF4A3	0
EIF4B	0
EIF4E	6
EIF4E1B	0
EIF4E2	5
EIF4EBP1	26
EIF4EBP2	0
EIF4EBP3	0
EIF4ENIF1	0
EIF4G1	3
EIF4G2	0
EIF4G3	3
EIF4H	0
EIF5	1
EIF5A	0
EIF5A2	0
EIF5AL1	0
EIF5B	1
EIF6	0
ELA1	0
ELA2	0
ELA2A	0
ELA2B	0
ELA3B	0
ELAVL1	35
ELAVL2	0
ELAVL3	0
ELAVL4	49
ELF1	3
ELF2	0
ELF3	0
ELF4	0
ELF5	0
ELK1	0
ELK3	0
ELK4	0
ELL	0
ELL2	0
ELMO1	61
ELMO2	0
ELN	2
ELP2	0
ELP4	0
ELSPBP1	0
EMD	0
EMID1	0
EMID2	0
EMILIN1	1
EMILIN2	0
EML4	0
EMP3	1
EMSY	0
EMX2	9
EN1	8
EN2	3
ENAH	0
ENDOG	0
ENG	1
ENO1	0
ENO2	3
ENO3	0
ENOX1	0
ENOX2	0
ENPEP	0
ENPP1	0
ENPP2	2
ENSA	0
EOMES	0
EP300	0
EP400	0
EPAS1	1
EPB41	0
EPB41L1	24
EPB41L3	7
EPB42	0
EPB49	3
EPC1	0
EPC2	0
EPHA1	0
EPHA2	10
EPHA3	1
EPHA4	31
EPHA5	0
EPHA6	0
EPHA7	0
EPHA8	0
EPHB1	4
EPHB2	3
EPHB3	1
EPHB4	0
EPHB6	27
EPN1	0
EPO	0
EPOR	0
EPPK1	0
EPRS	0
EPS15	11
EPS15L1	0
EPS8	19
EPX	0
ERAS	0
ERBB2	0
ERBB2IP	10
ERBB3	45
ERBB4	18
ERC1	0
ERCC1	0
ERCC2	0
ERCC3	0
ERCC4	0
ERCC5	0
ERCC6	0
ERCC6L	0
ERCC8	1
EREG	2
ERF	0
ERG	0
ERGIC1	0
ERGIC3	0
ERH	0
ERN1	0
ERN2	0
ERO1L	2
ERP29	0
ERRFI1	0
ESAM	0
ESPL1	8
ESR1	0
ESR2	0
ESRRA	0
ESRRB	0
ESRRG	0
ETF1	0
ETFA	0
ETFB	0
ETFDH	0
ETS1	0
ETS2	2
ETV1	34
ETV3	0
ETV4	0
ETV5	1
ETV6	0
ETV7	0
EVI1	2
EVI2B	78
EVI5	0
EVL	0
EVPL	0
EVX1	0
EVX2	0
EWSR1	0
EXO1	8
EXOC1	1
EXOC2	0
EXOC3	0
EXOC4	0
EXOC5	2
EXOC6	0
EXOC7	0
EXOC8	0
EXOSC1	0
EXOSC10	0
EXOSC2	0
EXOSC3	0
EXOSC4	0
EXOSC5	0
EXOSC6	0
EXOSC7	0
EXOSC8	3
EXOSC9	0
EXT1	0
EXT2	0
EXTL1	0
EYA1	0
EYA2	0
EYA3	0
EYA4	1
EZH1	0
EZH2	99
EZR	0
F10	0
F11	0
F11R	17
F12	1
F13A1	10
F13B	0
F2	1
F2R	107
F2RL1	9
F2RL2	1
F2RL3	0
F3	7
F5	2
F7	0
F8	6
F9	0
FAAP24	0
FABP1	0
FABP2	0
FABP3	0
FABP4	0
FABP5	6
FABP6	0
FADD	1
FADS2	0
FAF1	1
FAH	1
FAIM	0
FAIM2	5
FAIM3	1
FAM120B	0
FAM13A1	1
FAM13B1	0
FAM162A	0
FAM33A	0
FAM96B	0
FANCA	0
FANCB	0
FANCC	0
FANCD2	0
FANCE	0
FANCF	2
FANCG	26
FANCI	0
FANCL	0
FANCM	0
FAP	0
FAR1	0
FAR2	0
FARP2	0
FARSA	0
FARSB	0
FAS	62
FASLG	0
FASN	0
FASTK	0
FAT1	0
FAT2	2
FAU	0
FBL	0
FBLIM1	0
FBLN1	3
FBLN2	1
FBLN5	1
FBN1	18
FBN2	38
FBP1	0
FBP2	0
FBXL10	0
FBXL11	0
FBXL2	1
FBXL3	0
FBXL4	0
FBXL5	0
FBXL7	0
FBXL8	0
FBXO11	0
FBXO15	0
FBXO17	0
FBXO18	0
FBXO2	9
FBXO25	0
FBXO3	0
FBXO30	0
FBXO32	0
FBXO34	0
FBXO4	0
FBXO41	0
FBXO44	0
FBXO45	0
FBXO5	19
FBXO7	0
FBXO8	0
FBXO9	0
FBXW11	0
FBXW2	0
FBXW4	0
FBXW7	17
FBXW8	0
FCAR	0
FCER1A	5
FCER1G	115
FCER2	1
FCGR1A	8
FCGR2A	7
FCGR2B	75
FCGR2C	0
FCGR3A	0
FCGR3B	20
FCGRT	63
FCHSD2	0
FDPS	0
FDX1	2
FDXR	0
FE65L2	0
FECH	0
FEM1B	0
FEN1	8
FER	0
FER1L3	4
FERMT2	0
FES	0
FEV	0
FEZ1	16
FEZ2	0
FFAR1	0
FFAR2	0
FFAR3	0
FFR	0
FGA	4
FGB	5
FGD1	0
FGD2	0
FGD3	0
FGD4	0
FGF1	4
FGF10	0
FGF11	0
FGF12	23
FGF13	141
FGF14	33
FGF16	0
FGF17	0
FGF18	1
FGF19	0
FGF2	3
FGF20	1
FGF21	0
FGF22	0
FGF23	0
FGF3	2
FGF4	0
FGF5	0
FGF6	0
FGF7	1
FGF8	1
FGF9	93
FGFBP1	0
FGFR1	2
FGFR1OP	0
FGFR2	0
FGFR3	6
FGFR4	1
FGFRL1	0
FGG	5
FGL1	1
FGL2	0
FGR	21
FH	0
FHL1	1
FHL2	17
FHL3	0
FHL5	0
FHOD1	0
FIBP	0
FIGF	3
FIP1L1	0
FIS1	0
FIZ1	0
FKBP10	2
FKBP1A	1
FKBP1B	6
FKBP2	0
FKBP3	0
FKBP4	0
FKBP5	2
FKBP8	0
FLG	0
FLI1	0
FLII	0
FLJ00153	0
FLJ00185	0
FLJ00371	0
FLJ20896	0
FLNA	49
FLNB	3
FLNC	30
FLOT1	0
FLOT2	0
FLT1	0
FLT3	0
FLT3LG	0
FLT4	0
FMN1	0
FMN2	0
FMNL1	0
FMOD	6
FMR1	0
FN1	78
FNBP1	0
FNTA	0
FNTB	0
FOLH1	0
FOLR1	0
FOS	86
FOSB	7
FOSL1	0
FOSL2	1
FOX1	0
FOXA1	0
FOXA2	4
FOXA3	0
FOXC1	0
FOXD3	0
FOXE1	0
FOXF1	2
FOXF2	0
FOXG1	3
FOXH1	0
FOXJ3	0
FOXK2	0
FOXM1	13
FOXO1	6
FOXO3	0
FOXO4	0
FOXP1	0
FOXP2	0
FOXP3	0
FOXP4	0
FPR1	1
FPR2	0
FPR3	0
FRAP1	1
FRAS1	0
FRAT1	0
FRAT2	0
FREQ	0
FRK	0
FRS2	3
FRS3	0
FRY	0
FRYL	0
FRZB	11
FSCN1	0
FSHB	0
FSHR	0
FST	7
FSTL1	45
FSTL3	0
FTH1	0
FTHL17	0
FTHL19	0
FTL	0
FTMT	0
FTSJ1	0
FUBP1	0
FUBP3	0
FURIN	0
FUS	0
FUSIP1	3
FUT1	0
FUT4	0
FXC1	0
FXR1	0
FXR2	0
FXYD1	0
FXYD2	0
FXYD3	0
FXYD7	1
FYB	7
FYN	18
FZD1	2
FZD10	3
FZD2	23
FZD3	7
FZD4	2
FZD5	0
FZD6	37
FZD7	99
FZD8	0
FZD9	0
FZR1	0
G3BP1	1
G3BP2	0
G6PC	0
G6PC2	0
GAB1	4
GAB2	3
GAB3	0
GABARAP	0
GABARAPL2	2
GABBR1	227
GABBR2	192
GABPA	0
GABPB1	0
GABRA1	244
GABRA2	238
GABRA3	0
GABRA4	17
GABRA5	0
GABRA6	0
GABRB1	199
GABRB2	0
GABRB3	0
GABRG1	0
GABRG2	243
GABRG3	0
GABRQ	0
GABRR1	0
GABRR2	0
GAD1	0
GAD2	0
GADD45A	34
GADD45B	4
GADD45G	11
GAK	0
GAL	0
GALNS	0
GALNT3	0
GALNT5	0
GALR1	0
GALR2	0
GALR3	0
GAMT	0
GAN	0
GANAB	0
GAPDH	1
GAPDHS	0
GAR1	0
GARNL1	0
GARNL3	0
GARS	0
GAS1	6
GAS2	8
GAS6	0
GAST	0
GATA1	0
GATA2	0
GATA3	0
GATA4	0
GATA5	0
GATA6	2
GATAD2A	0
GATAD2B	0
GBA	0
GBE1	5
GBF1	0
GBP1	0
GBP2	0
GBX2	0
GC	0
GCA	5
GCC1	0
GCC2	1
GCDH	0
GCG	1
GCGR	0
GCH1	15
GCHFR	3
GCK	0
GCKR	0
GCLC	0
GCLM	0
GCM1	0
GCM2	0
GCN5L2	0
GCS1	0
GDA	0
GDF1	0
GDF10	1
GDF11	0
GDF15	1
GDF2	0
GDF3	0
GDF3A	0
GDF5	0
GDF6	0
GDF7	0
GDF9	0
GDI1	31
GDI2	0
GDNF	0
GEM	11
GEMIN4	0
GEMIN5	0
GEMIN6	2
GEMIN7	0
GFAP	0
GFER	0
GFI1	0
GFI1B	0
GFM1	0
GFRA1	0
GFRA2	0
GFRA3	0
GGA1	0
GGA2	0
GGA3	0
GGCX	0
GGN	0
GGNBP2	0
GGT1	0
GGT2	0
GH1	0
GH2	0
GHR	6
GHRH	0
GHRHR	0
GHRL	0
GHSR	0
GIF	0
GIGYF1	0
GIMAP5	1
GINS1	142
GINS2	112
GINS4	8
GIPC1	0
GIT1	0
GIT2	0
GJA1	10
GJA3	0
GJA5	0
GJA8	0
GJB1	0
GJB2	0
GJB6	0
GJC1	0
GJD2	0
GK	0
GK2	0
GK3P	0
GKAP1	0
GLB1	0
GLE1	0
GLG1	0
GLI1	7
GLI2	0
GLI3	2
GLIS1	0
GLIS3	0
GLMN	0
GLP1R	0
GLP2R	0
GLRB	0
GLRX	1
GLRX2	0
GLRX3	0
GLS2	1
GLUD1	0
GLUD2	0
GLYAT	0
GLYCAM1	0
GM2A	0
GMCL1	0
GMDS	0
GMEB1	0
GMEB2	0
GMFB	0
GMFG	46
GMIP	0
GML	0
GMNN	103
GMPPA	0
GMPPB	0
GMPS	1
GNA11	0
GNA12	0
GNA13	1
GNA14	0
GNA15	8
GNAI1	39
GNAI2	2
GNAI3	81
GNAL	0
GNAO1	234
GNAQ	0
GNAS	1
GNAT1	0
GNAT2	0
GNAT3	0
GNAZ	40
GNB1	4
GNB2	0
GNB2L1	0
GNB3	0
GNB4	0
GNB5	1
GNG10	0
GNG11	17
GNG12	155
GNG13	0
GNG2	0
GNG3	238
GNG4	1
GNG5	1
GNG7	0
GNG8	0
GNGT1	0
GNGT2	0
GNL1	0
GNL3	0
GNLY	0
GNPAT	0
GNRH1	0
GNRH2	0
GNRHR	0
GNRHR2	0
GOLGA1	0
GOLGA3	0
GOLGA4	0
GOLGA8B	0
GOLPH3	0
GOPC	0
GORASP1	0
GORASP2	0
GOSR1	0
GOSR2	0
GOT1	2
GOT2	0
GP1BA	0
GP1BB	0
GP5	0
GP6	0
GP9	0
GPAA1	0
GPBP1	0
GPBP1L1	0
GPC1	4
GPC2	0
GPC3	4
GPCR	0
GPD1	0
GPD1L	0
GPD2	0
GPER	0
GPHN	0
GPI	1
GPLD1	0
GPM6B	31
GPN1	0
GPN2	0
GPNMB	2
GPR1	0
GPR109B	0
GPR124	0
GPR143	0
GPR161	0
GPR17	0
GPR18	0
GPR183	0
GPR19	1
GPR25	0
GPR26	0
GPR3	0
GPR31	0
GPR35	0
GPR37	11
GPR37L1	0
GPR4	0
GPR45	0
GPR50	0
GPR63	0
GPR65	0
GPR68	0
GPR77	0
GPRIN2	0
GPS2	0
GPSM1	0
GPSM2	5
GPSM3	0
GPX1	0
GPX2	0
GPX4	0
GPX5	0
GRAP	0
GRAP2	0
GRASP	0
GRB10	5
GRB14	6
GRB2	4
GRB7	1
GREM1	3
GREM2	12
GRHL1	0
GRHL2	0
GRHL3	0
GRHPR	0
GRIA1	0
GRIA2	134
GRIA3	49
GRIA4	1
GRID	0
GRID2	0
GRIK1	2
GRIK2	0
GRIK3	0
GRIK4	0
GRIK5	0
GRIN1	0
GRIN2A	82
GRIN2B	0
GRIN2C	0
GRIN2D	0
GRIN3A	0
GRIN3B	0
GRIP1	0
GRK1	0
GRK4	0
GRK5	1
GRK6	0
GRK7	0
GRLF1	0
GRM1	0
GRM2	0
GRM3	54
GRM4	0
GRM5	0
GRM6	0
GRM7	0
GRM8	0
GRN	0
GRP	1
GRP17	0
GRP94C	0
GRPR	0
GRSF1	0
GRWD1	0
GSBS	0
GSC	0
GSC2	0
GSK3A	0
GSK3B	4
GSN	7
GSPT1	0
GSPT2	1
GSR	0
GSTA1	0
GSTA2	0
GSTA3	0
GSTM1	0
GSTM2	0
GSTM3	1
GSTM4	0
GSTM5	2
GSTO1	0
